#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2022 01 02 11 00 999 99.0 99.0  0.76 13.33  6.82 235 9999.0   5.0  11.7 999.0 99.0 99.00
2022 01 02 11 30 999 99.0 99.0  0.74 14.29  6.59 225 9999.0   4.7  11.5 999.0 99.0 99.00
2022 01 02 12 00 999 99.0 99.0  0.72 13.33  6.31 240 9999.0   4.9  11.4 999.0 99.0 99.00
2022 01 02 12 30 999 99.0 99.0  0.71 13.33  6.55 236 9999.0   4.5  11.4 999.0 99.0 99.00
2022 01 02 13 00 999 99.0 99.0  0.70 13.33  6.44 234 9999.0   4.4  11.4 999.0 99.0 99.00
2022 01 02 13 30 999 99.0 99.0  0.66 13.33  6.48 233 9999.0   5.0  11.4 999.0 99.0 99.00
2022 01 02 14 00 999 99.0 99.0  0.73 13.33  6.47 240 9999.0   4.6  11.6 999.0 99.0 99.00
2022 01 02 14 30 999 99.0 99.0  0.73 13.33  6.17 237 9999.0   4.2  11.5 999.0 99.0 99.00
2022 01 02 15 00 999 99.0 99.0  0.78 13.33  6.57 236 9999.0   4.4  11.5 999.0 99.0 99.00
2022 01 02 15 30 999 99.0 99.0  0.73 13.33  5.92 234 9999.0   4.2  11.4 999.0 99.0 99.00
2022 01 02 16 00 999 99.0 99.0  0.71 14.29  6.06 236 9999.0   4.8  11.5 999.0 99.0 99.00
2022 01 02 16 30 999 99.0 99.0  0.71 14.29  5.91 227 9999.0   5.8  11.6 999.0 99.0 99.00
2022 01 02 17 00 999 99.0 99.0  0.71 13.33  6.00 231 9999.0   6.6  11.8 999.0 99.0 99.00
2022 01 02 17 30 999 99.0 99.0  0.72 14.29  6.26 226 9999.0   7.4  11.8 999.0 99.0 99.00
2022 01 02 18 00 999 99.0 99.0  0.75 12.50  6.48 237 9999.0   8.2  11.8 999.0 99.0 99.00
2022 01 02 18 30 999 99.0 99.0  0.72 13.33  6.15 234 9999.0   8.8  11.9 999.0 99.0 99.00
2022 01 02 19 00 999 99.0 99.0  0.72 14.29  5.88 232 9999.0   9.1  11.9 999.0 99.0 99.00
2022 01 02 19 30 999 99.0 99.0  0.74 13.33  6.10 233 9999.0   9.7  11.9 999.0 99.0 99.00
2022 01 02 20 00 999 99.0 99.0  0.73 14.29  6.17 229 9999.0   9.6  11.9 999.0 99.0 99.00
2022 01 02 20 30 999 99.0 99.0  0.73 14.29  6.90 229 9999.0  10.0  11.9 999.0 99.0 99.00
2022 01 02 21 00 999 99.0 99.0  0.72 13.33  6.94 232 9999.0  10.8  11.9 999.0 99.0 99.00
2022 01 02 21 30 999 99.0 99.0  0.73 14.29  7.45 229 9999.0  10.9  12.0 999.0 99.0 99.00
2022 01 02 22 00 999 99.0 99.0  0.70 13.33  7.08 234 9999.0 999.0  12.0 999.0 99.0 99.00
2022 01 02 22 30 999 99.0 99.0  0.67 13.33  7.24 230 9999.0 999.0  12.0 999.0 99.0 99.00
2022 01 02 23 00 999 99.0 99.0  0.66 15.38  7.13 207 9999.0 999.0  12.2 999.0 99.0 99.00
