Date,Index
1929-6-18,26.42
1929-6-19,26.32
1929-6-20,26.469999
1929-6-21,26.620001
1929-6-24,26.620001
1929-6-25,26.9
1929-6-26,27.059999
1929-6-27,27.110001
1929-6-28,27.41
1929-7-1,27.77
1929-7-2,28.059999
1929-7-3,28.18
1929-7-5,28.32
1929-7-8,28.370001
1929-7-9,28.280001
1929-7-10,28.200001
1929-7-11,28.26
1929-7-12,28.57
1929-7-15,28.450001
1929-7-16,28.65
1929-7-17,28.719999
1929-7-18,28.66
1929-7-19,28.76
1929-7-22,28.43
1929-7-23,28.83
1929-7-24,28.639999
1929-7-25,28.77
1929-7-26,28.66
1929-7-29,28.18
1929-7-30,28.5
1929-7-31,28.879999
1929-8-1,29.08
1929-8-2,29.559999
1929-8-5,29.540001
1929-8-6,29.43
1929-8-7,29.129999
1929-8-8,29.469999
1929-8-9,28.379999
1929-8-12,29.27
1929-8-13,29.530001
1929-8-14,29.620001
1929-8-15,29.67
1929-8-16,30.219999
1929-8-19,30.5
1929-8-20,30.68
1929-8-21,30.549999
1929-8-22,30.790001
1929-8-23,31.09
1929-8-26,31.07
1929-8-27,31.049999
1929-8-28,30.99
1929-8-29,31.290001
1929-8-30,31.709999
1929-9-3,31.82
1929-9-4,31.719999
1929-9-5,31.02
1929-9-6,31.83
1929-9-9,31.67
1929-9-10,31.1
1929-9-11,31.530001
1929-9-12,31.17
1929-9-13,31.379999
1929-9-16,31.860001
1929-9-17,31.6
1929-9-18,31.68
1929-9-19,31.73
1929-9-20,31.389999
1929-9-23,31.379999
1929-9-24,30.799999
1929-9-25,30.85
1929-9-26,31.129999
1929-9-27,30.27
1929-9-30,30.16
1929-10-1,29.98
1929-10-2,30.200001
1929-10-3,28.950001
1929-10-4,28.65
1929-10-7,30.440001
1929-10-8,30.34
1929-10-9,30.27
1929-10-10,30.809999
1929-10-11,30.76
1929-10-14,30.549999
1929-10-15,30.299999
1929-10-16,29.24
1929-10-17,29.690001
1929-10-18,28.84
1929-10-21,27.73
1929-10-22,28.27
1929-10-23,26.6
1929-10-24,25.75
1929-10-25,26.120001
1929-10-28,22.74
1929-10-29,20.43
1929-10-30,22.99
1929-10-31,24.15
1929-11-4,22.879999
1929-11-6,20.610001
1929-11-7,21.370001
1929-11-8,21.18
1929-11-11,19.860001
1929-11-12,18.73
1929-11-13,17.66
1929-11-14,19.24
1929-11-15,20.299999
1929-11-18,20.09
1929-11-19,20.700001
1929-11-20,21.27
1929-11-21,21.610001
1929-11-22,21.530001
1929-11-25,21.280001
1929-11-26,20.66
1929-11-27,20.92
1929-12-2,20.950001
1929-12-3,21.65
1929-12-4,22.049999
1929-12-5,21.870001
1929-12-6,22.450001
1929-12-9,22.4
1929-12-10,22.57
1929-12-11,22.379999
1929-12-12,21.17
