Decimal_Year,Index
2013.841095890411,1767.93
2013.8438356164384,1762.97
2013.8465753424657,1770.49
2013.849315068493,1747.15
2013.8520547945207,1770.61
2013.8602739726027,1771.89
2013.86301369863,1767.69
2013.8657534246574,1782.0
2013.868493150685,1790.62
2013.8712328767124,1798.18
2013.8794520547945,1791.53
2013.8821917808218,1787.87
2013.8849315068494,1781.37
2013.8876712328768,1795.85
2013.890410958904,1804.76
2013.8986301369864,1802.48
2013.9013698630138,1802.75
2013.9041095890411,1807.23
2013.9095890410958,1805.81
2013.9178082191781,1800.9
2013.9205479452055,1795.15
2013.9232876712329,1792.81
2013.9260273972602,1785.03
2013.9287671232876,1805.09
2013.9369863013699,1808.37
2013.9397260273972,1802.62
2013.9424657534246,1782.22
2013.945205479452,1775.5
2013.9479452054795,1775.32
2013.9561643835616,1786.54
2013.958904109589,1781.0
2013.9616438356165,1810.65
2013.964383561644,1809.6
2013.9671232876713,1818.32
2013.9753424657533,1827.99
2013.978082191781,1833.32
2013.9835616438356,1842.02
2013.986301369863,1841.4
2013.9945205479453,1841.07
2013.9972602739726,1848.36
2014.0027397260274,1831.98
2014.0054794520547,1831.37
2014.013698630137,1826.77
2014.0164383561644,1837.88
2014.0191780821917,1837.49
2014.021917808219,1838.13
2014.0246575342467,1842.37
2014.0328767123287,1819.2
2014.035616438356,1838.88
2014.0383561643835,1848.38
2014.041095890411,1845.89
2014.0438356164384,1838.7
2014.054794520548,1843.8
2014.0575342465754,1844.86
2014.0602739726028,1828.46
2014.0630136986301,1790.29
2014.0712328767124,1781.56
2014.0739726027398,1792.5
2014.0767123287671,1774.2
2014.0794520547945,1794.19
2014.0821917808219,1782.59
2014.0904109589042,1741.89
2014.0931506849315,1755.2
2014.0958904109589,1751.64
2014.0986301369862,1773.43
2014.1013698630136,1797.02
2014.109589041096,1799.84
2014.1123287671232,1819.75
2014.1150684931506,1819.26
2014.1178082191782,1829.83
2014.1205479452055,1838.63
2014.131506849315,1840.76
2014.1342465753426,1828.75
2014.13698630137,1839.78
2014.1397260273973,1836.25
2014.1479452054793,1847.61
2014.150684931507,1845.12
2014.1534246575343,1845.16
2014.1561643835616,1854.29
2014.158904109589,1859.45
2014.1671232876713,1845.73
2014.1698630136987,1873.91
2014.172602739726,1873.81
2014.1753424657534,1877.03
2014.1780821917807,1878.04
2014.186301369863,1877.17
2014.1890410958904,1867.63
2014.1917808219177,1868.2
2014.194520547945,1846.34
2014.1972602739727,1841.13
2014.2054794520548,1858.83
2014.2082191780821,1872.25
2014.2109589041097,1860.77
2014.213698630137,1872.01
2014.2164383561644,1866.52
2014.2246575342465,1857.44
2014.227397260274,1865.62
2014.2301369863014,1852.56
2014.2328767123288,1849.04
2014.2356164383561,1857.62
2014.2438356164384,1872.34
2014.2465753424658,1885.52
2014.2493150684932,1890.9
2014.2520547945205,1888.77
2014.2547945205479,1865.09
2014.2630136986302,1845.04
2014.2657534246575,1851.96
2014.268493150685,1872.18
2014.2712328767122,1833.08
2014.2739726027398,1815.69
2014.282191780822,1830.61
2014.2849315068493,1842.98
2014.2876712328766,1862.31
2014.2904109589042,1864.85
2014.3013698630136,1871.89
2014.304109589041,1879.55
2014.3068493150686,1875.39
2014.309589041096,1878.61
2014.3123287671233,1863.4
2014.3205479452056,1869.43
2014.323287671233,1878.33
2014.3260273972603,1883.95
2014.3287671232877,1883.68
2014.331506849315,1881.14
2014.3397260273973,1884.66
2014.3424657534247,1867.72
2014.345205479452,1878.21
2014.3479452054794,1875.63
2014.3506849315067,1878.48
2014.358904109589,1896.65
2014.3616438356164,1897.45
2014.3643835616438,1888.53
2014.3671232876711,1870.85
2014.3698630136987,1877.86
2014.3780821917808,1885.08
2014.3808219178081,1872.83
2014.3835616438357,1888.03
2014.386301369863,1892.49
2014.3890410958904,1900.53
2014.4,1911.91
2014.4027397260274,1909.78
2014.4054794520548,1920.03
2014.4082191780822,1923.57
2014.4164383561645,1924.97
2014.4191780821918,1924.24
2014.4219178082192,1927.88
2014.4246575342465,1940.46
2014.427397260274,1949.44
2014.4356164383562,1951.27
2014.4383561643835,1950.79
2014.441095890411,1943.89
2014.4438356164383,1930.11
2014.4465753424658,1936.16
2014.454794520548,1937.78
2014.4575342465753,1941.99
2014.4602739726026,1956.98
2014.4630136986302,1959.48
2014.4657534246576,1962.87
2014.4739726027397,1962.61
2014.4767123287672,1949.98
2014.4794520547946,1959.53
2014.482191780822,1957.22
2014.4849315068493,1960.96
2014.4931506849316,1960.23
2014.495890410959,1973.32
2014.4986301369863,1974.62
2014.5013698630137,1985.44
2014.5123287671233,1977.65
2014.5150684931507,1963.71
2014.517808219178,1972.83
2014.5205479452054,1964.68
2014.5232876712328,1967.57
2014.531506849315,1977.1
2014.5342465753424,1973.28
2014.5369863013698,1981.57
2014.5397260273974,1958.12
2014.5424657534247,1978.22
2014.5506849315068,1973.63
2014.5534246575342,1983.53
2014.5561643835617,1987.01
2014.558904109589,1987.98
2014.5616438356165,1978.34
2014.5698630136985,1978.91
2014.572602739726,1969.95
2014.5753424657535,1970.07
2014.5780821917808,1930.67
2014.5808219178082,1925.15
2014.5890410958905,1938.99
2014.5917808219178,1920.21
2014.5945205479452,1920.24
2014.5972602739726,1909.57
2014.6,1931.59
2014.6082191780822,1936.92
2014.6109589041096,1933.75
2014.613698630137,1946.72
2014.6164383561643,1955.18
2014.6191780821919,1955.06
2014.627397260274,1971.74
2014.6301369863013,1981.6
2014.6328767123289,1986.51
2014.6356164383562,1992.37
2014.6383561643836,1988.4
2014.6465753424657,1997.92
2014.6493150684933,2000.02
2014.6520547945206,2000.12
2014.654794520548,1996.74
2014.6575342465753,2003.37
2014.668493150685,2002.28
2014.6712328767123,2000.72
2014.6739726027397,1997.65
2014.676712328767,2007.71
2014.6849315068494,2001.54
2014.6876712328767,1988.44
2014.690410958904,1995.69
2014.6931506849314,1997.45
2014.695890410959,1985.54
2014.704109589041,1984.13
2014.7068493150684,1998.98
2014.7095890410958,2001.57
2014.7123287671234,2011.36
2014.7150684931507,2010.4
2014.7232876712328,1994.29
2014.7260273972602,1982.77
2014.7287671232878,1998.3
2014.731506849315,1965.99
2014.7342465753425,1982.85
2014.7424657534248,1977.8
2014.7452054794521,1972.29
2014.7479452054795,1946.16
2014.7506849315068,1946.17
2014.7534246575342,1967.9
2014.7616438356165,1964.82
2014.7643835616439,1935.1
2014.7671232876712,1968.89
2014.7698630136986,1928.21
2014.772602739726,1906.13
2014.7808219178082,1874.74
2014.7835616438356,1877.7
2014.786301369863,1862.49
2014.7890410958903,1862.76
2014.7917808219179,1886.76
2014.8,1904.01
2014.8027397260273,1941.28
2014.805479452055,1927.11
2014.8082191780823,1950.82
2014.8109589041096,1964.58
2014.8191780821917,1961.63
2014.8219178082193,1985.05
2014.8246575342466,1982.3
2014.827397260274,1994.65
2014.8301369863013,2018.05
2014.8383561643836,2017.81
2014.841095890411,2012.1
2014.8438356164384,2023.57
2014.8465753424657,2031.21
2014.849315068493,2031.92
2014.8575342465754,2038.26
2014.8602739726027,2039.68
2014.86301369863,2038.25
2014.8657534246574,2039.33
2014.868493150685,2039.82
2014.876712328767,2041.32
2014.8794520547945,2051.8
2014.8821917808218,2048.72
2014.8849315068494,2052.75
2014.8876712328768,2063.5
2014.8958904109588,2069.41
2014.8986301369864,2067.03
